Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",5/29/1998,1048286,1927
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York City, New York",8/31/1987,62709,1905
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076,1993
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",6/30/1981,62996,1929
MA,Mastercard,Financials,Transaction & Payment Processing Services,"Harrison, New York",7/18/2008,1141391,1966
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",9/20/2021,891103,1986
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",3/20/2003,63754,1889
MCD,McDonald's,Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,63908,1940
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",1/13/1999,927653,1833
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,1613103,1949
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/1957,310158,1891
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",12/23/2013,1326801,2004
MET,MetLife,Financials,Life & Health Insurance,"New York City, New York",12/11/2000,1099219,1868
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1037646,1945
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,789570,1986
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,827054,1989
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,723125,1978
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019,1975
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,912595,1977
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",7/21/2021,1682852,2010
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/2013,851968,1878
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",3/2/2022,1179929,1980
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",6/30/1976,24545,"2005 (Molson 1786, Coors 1873)"
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/2012,1103982,2012
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",2/12/2021,1280452,1997
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",6/28/2012,865752,2012 (1935)
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,"New York City, New York",7/1/1998,1059556,1909
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York City, New York",7/29/1993,895421,1935
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/2011,1285785,2004 (1865 / 1909)
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",3/4/1957,68505,1928 (2011)
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",4/4/2018,1408198,1969
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",10/22/2008,1120193,1971
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",6/25/1999,1002047,1992
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,1065280,1997
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",4/30/1989,814453,1903
NEM,Newmont,Materials,Gold,"Denver, Colorado",6/30/1969,1164727,1921
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",8/1/2013,1564708,2013 (1980)
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",9/18/2015,1564708,2013 (1980)
NEE,NextEra Energy,Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/1976,753308,1984 (1925)
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,320187,1964
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",11/2/2000,1111711,1912
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,"Westlake, Ohio",2/15/2022,72331,1935
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,"Atlanta, Georgia",3/4/1957,702165,1881/1894 (1980)
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,"Chicago, Illinois",1/30/1998,73124,1889
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",3/4/1957,1133421,"1994 (Northrop 1939, Grumman 1930)"
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/2017,1513761,2011 (1966)
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/2010,1013871,1992
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",4/30/1985,73309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",11/30/2001,1045810,1993
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/2019,906163,1980
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",3/22/2021,1413447,1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/2009,898173,1957
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,797468,1920
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",12/9/2019,878927,1934
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",12/31/1997,29989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Phoenix, Arizona",6/21/2022,1097864,1999
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/2010,1039684,1906
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",8/31/1989,1341439,1977
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",6/3/2021,1821825,2021
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,"Farmington, Connecticut",4/3/2020,1781335,2020 (1853)
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,"Bellevue, Washington",12/31/1980,75362,1905
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",7/26/2017,75677,1959
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",9/30/1994,813828,2019 (1952)
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"Cleveland, Ohio",11/30/1985,76334,1917
PAYX,Paychex,Industrials,Human Resource & Employment Services,"Penfield, New York",10/1/1998,723531,1971
PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",1/28/2020,1590955,1998
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",7/20/2015,1633917,1998
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",10/1/2012,77360,1966
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Purchase, New York",3/4/1957,77476,1898
PFE,Pfizer,Health Care,Pharmaceuticals,"New York City, New York",3/4/1957,78003,1849
PCG,PG&E Corporation,Utilities,Multi-Utilities,"San Francisco, California",10/3/2022,1004980,1905
PM,Philip Morris International,Consumer Staples,Tobacco,"New York City, New York",3/31/2008,1413329,2008 (1847)
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/2012,1534701,2012 (1917)
PNW,Pinnacle West,Utilities,Multi-Utilities,"Phoenix, Arizona",10/4/1999,764622,1985
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/2008,1038357,1997
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/1988,713676,1845
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",10/7/2020,945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/1957,79879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",10/1/2001,922224,1920
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/2002,1126328,1879
PG,Procter & Gamble,Consumer Staples,Personal Care Products,"Cincinnati, Ohio",3/4/1957,80424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/1997,80661,1937
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",7/17/2003,1045609,1983
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",7/22/2002,1137774,1875
